amenity	cuisine	takeaway	name	brand
fast_food	bagel	yes	Bagelstein	Bagelstein
fast_food	bagel	yes	Bagelstein Part-Dieu	
fast_food	bagel	yes	Bagel Store	
fast_food	bagel	yes	B Chef	
fast_food	bagel	yes	B-Chef	
fast_food	bagel	yes	Best Bagel Lyon Lumière	Best Bagels
fast_food	bagel	yes	Lekkers	
fast_food	bagel	yes	Little Bagel	
fast_food	bagel	yes	Morry's Bagels	
fast_food	bagel	yes	Nina's Bagel&Salad	
fast_food	bagel	yes	Popote & Papote	
fast_food	bao		Ch'ti Bao	
fast_food	barbecue		Barback Corner	
fast_food	barbecue		BBQ Time	
fast_food	barbecue;brazilian;french		Open Kitchen FoodTruck	
fast_food	barbecue;brazilian	only	Concept Chef	
fast_food	barbecue;burger;chicken;diner;sandwich		Road 33	
fast_food	barbecue;burger;chicken;ice_cream;meat;steak_house	yes	brut butcher	Brut Butcher
fast_food	barbecue;burger;chicken;ice_cream;meat;steak_house	yes	Brut Butcher	Brut Butcher
fast_food	barbecue;burger;chicken;ice_cream;meat;steak_house	yes	Brut Butcher	Brut Butcher
fast_food	barbecue;burger;chicken;ice_cream;meat;steak_house	yes	Brut Butcher	Brut Butcher
fast_food	barbecue;burger;chicken;ice_cream;meat;steak_house	yes	Brut Butcher	Brut Butcher
fast_food	barbecue;burger;coffee_shop;crepe;friture;ice_cream;sandwich		L'Art Lequin	
fast_food	barbecue;burger;friture;grill;kebab;sandwich;steak_house		O'BBQ Grill	
fast_food	barbecue;burger;grill;pizza		La baraque	
fast_food	barbecue;burger	yes	Brut Butcher	Brut Butcher
fast_food	barbecue		Cappadoce Grill	
fast_food	barbecue;chicken;local;regional;steak_house		L'ange bokits	
fast_food	barbecue		Coq & Rizo	
fast_food	barbecue		Défense de Fumer	
fast_food	barbecue		Farouj	
fast_food	barbecue;french	only	La ferme de Mimile - Poulets fermiers cuits	
fast_food	barbecue		La maison d'Alep	
fast_food	barbecue		Le Marquis de la Guintre	
fast_food	barbecue		Mangal Grill	
fast_food	barbecue		O'Charbonnier	
fast_food	barbecue		O'Grillz	
fast_food	barbecue		Resto des 5 menus	
fast_food	barbecue;turkish		Istanbul Grillades	
fast_food	barbecue	yes	Le 131	
fast_food	barbecue	yes	Nels'R BBQ	
fast_food	basque		Grill Erretegui	
fast_food	beef_bowl;burger;hot_dog;pasta;salad;tacos		Le 124	
fast_food	belgian;burger;sandwich	yes	La fringale du Cht'i	
fast_food	belgian		La Baraka Frites	
fast_food	belgian	only	Le Diable Rouge	
fast_food	bento;japanese	yes	Juji Ya	
fast_food	bento	yes	Nam Nam	
fast_food	bistro;french;regional		Alma	
fast_food	bistro	yes	Le Crémieux	
fast_food	bokit;antillais		Carribean Bokit Factory	
fast_food	bokit;antillais		Le Caribéen	
fast_food	brasilian		Oba Brasil	
fast_food	brasserie		L'Esplanade	
fast_food	brazilian		Farofa	
fast_food	bread;sandwich		Firmin	
fast_food	breakfast;burger;coffee_shop;french;local;pancake;sandwich		La Balançoire	
fast_food	breakfast;burger;crepe;friture;kebab;local;savory_pancakes		Bistrot du camping des Mésanges	
