amenity	cuisine	takeaway	name	brand
fast_food	burger		O Braseiro	
fast_food	burger		Olmar's Smash Burgers & Hot Dogs	
fast_food	burger	only	Carmela Smash	
fast_food	burger	only	Taima	
fast_food	burger		Original Food	
fast_food	burger		Oskar Burger	
fast_food	burger		Ovante	
fast_food	burger		Panzzer Grill	
fast_food	burger		Papizza	
fast_food	burger		Pastor Hamburgesak	
fast_food	burger		Pepburg	
fast_food	burger		Pepe Vicent	
fast_food	burger		PEPITU	
fast_food	burger		Pibe's	
fast_food	burger		Picaña hamburguesería	
fast_food	burger		Picasso's	
fast_food	burger		Pikando Billete	
fast_food	burger		Pilon	
fast_food	burger		Pingüins Eurosol	
fast_food	burger		Pingüins Grao Castellón	
fast_food	burger		Piper´s	
fast_food	burger		Pixkat	
fast_food	burger;pizza		Bocateli Elisa	
fast_food	burger;pizza;campero	yes	Hamburguesería Pacomé	
fast_food	burger;pizza		El Buzo	
fast_food	burger;pizza;friture;tapas		atacasa_comidas caseras	
fast_food	burger;pizza		Hamburguesería Los Niños	
fast_food	burger;pizza;italian		Di Modena a domicilio	
fast_food	burger;pizza		La Canoa	
fast_food	burger;pizza		La Casa De La Pizza	
fast_food	burger;pizza		Pinocho	
fast_food	burger;pizza		Pizzería American's	
fast_food	burger;pizza;sandwich		Biker'S	
fast_food	burger;pizza;sandwich		Come, bebe y calla	
fast_food	burger;pizza;sandwich	only	Mec Mec	
fast_food	burger;pizza;sandwich;regional;chicken;ice_cream		A Bolera	
fast_food	burger;pizza;sandwich	yes	Hamburguesería Jucar	
fast_food	burger;pizza		take away cuisines	
fast_food	burger;pizza		Teleburger Rock	
fast_food	burger;pizza		Tomy Burguer	
fast_food	burger;pizza		Veganitessen	
fast_food	burger;pizza	yes	McCharly & Company Café	
fast_food	burger		Plaza	
fast_food	burger		Pons	
fast_food	burger		Quinze	
fast_food	burger		Rafi	
fast_food	burger		Raimundo	
fast_food	burger		Ramvar	
fast_food	burger		Rebell Homeburguer	
fast_food	burger		Red Burger	
fast_food	burger;regional;italian		SOCO Poblenou	
fast_food	burger;regional;sandwich;spanish;hot_dog	yes	Redburger Hamburguesería	
